alpha,fit_intercept,normalize,copy_X,max_iter,solver,accuracy
"[1e-05, 0.0001, 0.1, 1, 10, 20, 25, 30, 35, 50]","[True, False]","[False, True]","[True, False]","[1, 10]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
1e-05,True,False,True,10,lsqr,0.7921348314606741
1e-05,True,False,False,10,lsqr,0.7921348314606741
0.0001,True,False,True,10,lsqr,0.7921348314606741
0.0001,True,False,False,10,lsqr,0.7921348314606741
0.1,True,False,True,10,lsqr,0.7921348314606741
0.1,True,False,False,10,lsqr,0.7921348314606741
1,True,False,True,10,lsqr,0.7921348314606741
1,True,False,False,10,lsqr,0.7921348314606741
35,True,False,True,10,lsqr,0.7921348314606741
35,True,False,False,10,lsqr,0.7921348314606741
10,True,False,True,10,lsqr,0.790730337078651
10,True,False,False,10,lsqr,0.790730337078651
25,True,False,True,10,lsqr,0.790730337078651
25,True,False,False,10,lsqr,0.790730337078651
30,True,False,True,10,lsqr,0.790730337078651
30,True,False,False,10,lsqr,0.790730337078651
20,True,False,True,10,lsqr,0.787921348314606
20,True,False,False,10,lsqr,0.787921348314606
50,True,False,True,10,lsqr,0.787921348314606
50,True,False,False,10,lsqr,0.787921348314606
10,False,False,True,10,lsqr,0.769662921348314
10,False,True,True,10,lsqr,0.769662921348314
10,False,False,False,10,lsqr,0.769662921348314
10,False,True,False,10,lsqr,0.769662921348314
1e-05,False,False,True,10,lsqr,0.766853932584269
1e-05,False,True,True,10,lsqr,0.766853932584269
1e-05,False,False,False,10,lsqr,0.766853932584269
1e-05,False,True,False,10,lsqr,0.766853932584269
0.0001,False,False,True,10,lsqr,0.766853932584269
0.0001,False,True,True,10,lsqr,0.766853932584269
0.0001,False,False,False,10,lsqr,0.766853932584269
0.0001,False,True,False,10,lsqr,0.766853932584269
0.1,False,False,True,10,lsqr,0.766853932584269
0.1,False,True,True,10,lsqr,0.766853932584269
0.1,False,False,False,10,lsqr,0.766853932584269
0.1,False,True,False,10,lsqr,0.766853932584269
1,False,False,True,10,lsqr,0.766853932584269
1,False,True,True,10,lsqr,0.766853932584269
1,False,False,False,10,lsqr,0.766853932584269
1,False,True,False,10,lsqr,0.766853932584269
20,False,False,True,10,lsqr,0.75
20,False,True,True,10,lsqr,0.75
20,False,False,False,10,lsqr,0.75
20,False,True,False,10,lsqr,0.75
25,False,False,True,10,lsqr,0.7471910112359551
25,False,True,True,10,lsqr,0.7471910112359551
25,False,False,False,10,lsqr,0.7471910112359551
25,False,True,False,10,lsqr,0.7471910112359551
30,False,False,True,10,lsqr,0.7471910112359551
30,False,True,True,10,lsqr,0.7471910112359551
30,False,False,False,10,lsqr,0.7471910112359551
30,False,True,False,10,lsqr,0.7471910112359551
1,True,True,True,1,lsqr,0.742977528089887
1,True,True,True,1,sparse_cg,0.742977528089887
1,True,True,False,1,lsqr,0.742977528089887
1,True,True,False,1,sparse_cg,0.742977528089887
35,False,False,True,10,lsqr,0.742977528089887
35,False,True,True,10,lsqr,0.742977528089887
35,False,False,False,10,lsqr,0.742977528089887
35,False,True,False,10,lsqr,0.742977528089887
0.1,True,True,True,1,lsqr,0.7415730337078651
0.1,True,True,True,1,sparse_cg,0.7415730337078651
0.1,True,True,False,1,lsqr,0.7415730337078651
0.1,True,True,False,1,sparse_cg,0.7415730337078651
50,False,False,True,10,lsqr,0.7415730337078651
50,False,True,True,10,lsqr,0.7415730337078651
50,False,False,False,10,lsqr,0.7415730337078651
50,False,True,False,10,lsqr,0.7415730337078651
1e-05,True,True,True,1,lsqr,0.737359550561797
1e-05,True,True,True,1,sparse_cg,0.737359550561797
1e-05,True,True,False,1,lsqr,0.737359550561797
1e-05,True,True,False,1,sparse_cg,0.737359550561797
0.0001,True,True,True,1,lsqr,0.737359550561797
0.0001,True,True,True,1,sparse_cg,0.737359550561797
0.0001,True,True,False,1,lsqr,0.737359550561797
0.0001,True,True,False,1,sparse_cg,0.737359550561797
10,True,True,True,1,cholesky,0.6558988764044941
10,True,True,True,1,svd,0.6558988764044941
10,True,True,True,10,cholesky,0.6558988764044941
10,True,True,True,10,svd,0.6558988764044941
10,True,True,True,10,lsqr,0.6558988764044941
10,True,True,True,10,sparse_cg,0.6558988764044941
10,True,True,False,1,cholesky,0.6558988764044941
10,True,True,False,1,svd,0.6558988764044941
10,True,True,False,10,cholesky,0.6558988764044941
10,True,True,False,10,svd,0.6558988764044941
10,True,True,False,10,lsqr,0.6558988764044941
10,True,True,False,10,sparse_cg,0.6558988764044941
10,True,True,True,1,lsqr,0.6530898876404491
10,True,True,True,1,sparse_cg,0.6530898876404491
10,True,True,False,1,lsqr,0.6530898876404491
10,True,True,False,1,sparse_cg,0.6530898876404491
1e-05,True,False,True,1,lsqr,0.639044943820224
1e-05,True,False,True,1,sparse_cg,0.639044943820224
1e-05,True,False,False,1,lsqr,0.639044943820224
1e-05,True,False,False,1,sparse_cg,0.639044943820224
0.0001,True,False,True,1,lsqr,0.639044943820224
0.0001,True,False,True,1,sparse_cg,0.639044943820224
0.0001,True,False,False,1,lsqr,0.639044943820224
0.0001,True,False,False,1,sparse_cg,0.639044943820224
0.1,True,False,True,1,lsqr,0.639044943820224
